HEADER
VTF File Version,1.1
VTF File Type,0
PID,2081276
Generated on,2026-06-29 22:49:25
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2081279

STRUCTURE
Group_Start,User and Internal Events
Dynamic_Row,1,General,User Events from APIs and Internally Generated Events
Group_End,User and Internal Events

MAPPING
1214,0:13:94901668089184
1218,0:13:94901668356064
1215,0:13:94901668416416
3911,0:13:94901668593616
4001,0:13:94901668597712
674,0:13:94901668722576
1217,0:13:94901669010928
2979,0:13:94901669167056
1219,0:13:94901669183456
4045,0:13:94901669199824
3066,0:13:94901669359568
3623,0:13:94901669384144
1220,0:13:94901669395008
2383,0:13:94901669420016
767,0:13:94901669553328
769,0:13:94901669553648
597,0:13:94901669969888
1223,0:13:94901670043616
1222,0:13:94901670175616
1224,0:13:94901670176000
1226,0:13:94901670289376
1953,0:13:94901670301664
1227,0:13:94901670494176
2999,0:13:94901670645712
4026,0:13:94901670744016
1232,0:13:94901670748128
2112,0:13:94901670783184
1229,0:13:94901670894720
2276,0:13:94901670921488
1230,0:13:94901671090096
2224,0:13:94901671202656
3809,0:13:94901671210960
526,0:13:94901671268320
633,0:13:94901671284704
2849,0:13:94901671301072
1231,0:13:94901671329760
2083,0:13:94901671420512
356,0:13:94901671432160
3468,0:13:94901671489488
846,0:13:94901671710688
2160,0:13:94901671856272
525,0:13:94901671944160
2635,0:13:94901672009680
1235,0:13:94901672058848
4084,0:13:94901672198096
1236,0:13:94901672202208
1237,0:13:94901672320992
2209,0:13:94901672459024
4175,0:13:94901672509392
1955,0:13:94901672603616
638,0:13:94901672648672
1238,0:13:94901672764880
531,0:13:94901672783840
1239,0:13:94901672822816
1240,0:13:94901672880736
2891,0:13:94901673299920
1893,0:13:94901673319552
338,0:13:94901673357280
1241,0:13:94901673358768
4128,0:13:94901673451472
3657,0:13:94901673529296
298,0:13:94901673627616
1242,0:13:94901673854144
1243,0:13:94901673897952
2698,0:13:94901674258384
3267,0:13:94901674282960
768,0:13:94901674301856
3183,0:13:94901674332112
1252,0:13:94901674577888
2522,0:13:94901674594256
471,0:13:94901674598368
1942,0:13:94901674783840
468,0:13:94901674899760
2230,0:13:94901675061216
1244,0:13:94901675167712
652,0:13:94901675201920
1828,0:13:94901675253248
470,0:13:94901675372512
289,0:13:94901675413472
1245,0:13:94901675450112
1246,0:13:94901675646944
3732,0:13:94901675687888
4079,0:13:94901675839440
1936,0:13:94901675994736
1980,0:13:94901676031968
1247,0:13:94901676089312
4380,0:13:94901676269520
1248,0:13:94901676283392
1255,0:13:94901676421088
2702,0:13:94901676441552
1956,0:13:94901676598960
1250,0:13:94901676658656
1253,0:13:94901676675040
1251,0:13:94901676722784
1256,0:13:94901676723104
1808,0:13:94901676769088
1254,0:13:94901677034192
496,0:13:94901677211616
1767,0:13:94901677226208
1259,0:13:94901677293536
408,0:13:94901677297632
1917,0:13:94901677305824
1257,0:13:94901677508096
1822,0:13:94901677584352
3244,0:13:94901677686736
3662,0:13:94901677830096
2022,0:13:94901677885632
2327,0:13:94901677937216
1981,0:13:94901678291472
1258,0:13:94901678331104
2328,0:13:94901678447616
2248,0:13:94901678532368
1261,0:13:94901678546720
1264,0:13:94901678651456
1997,0:13:94901678956512
4024,0:13:94901678964688
1260,0:13:94901679013856
1998,0:13:94901679068656
1867,0:13:94901679142256
2384,0:13:94901679243232
1262,0:13:94901679468512
1937,0:13:94901679553616
1263,0:13:94901679570912
343,0:13:94901679583200
1809,0:13:94901679771616
1267,0:13:94901680177120
3746,0:13:94901680197584
4342,0:13:94901680463824
1265,0:13:94901680582624
1868,0:13:94901680660448
1919,0:13:94901680683184
1738,0:13:94901680688816
1789,0:13:94901680791520
1979,0:13:94901680801200
1987,0:13:94901680801632
3042,0:13:94901680820176
1266,0:13:94901680967648
1873,0:13:94901680977552
314,0:13:94901681061856
700,0:13:94901681201120
1268,0:13:94901681241216
752,0:13:94901681245040
1269,0:13:94901681319904
1271,0:13:94901681383056
3387,0:13:94901681430480
1270,0:13:94901681449376
1769,0:13:94901681508320
879,0:13:94901681536208
742,0:13:94901681573856
3722,0:13:94901681577936
816,0:13:94901681770416
564,0:13:94901682007088
1272,0:13:94901682147296
3068,0:13:94901682229200
479,0:13:94901682388960
513,0:13:94901682868192
2329,0:13:94901683135072
1750,0:13:94901683191152
550,0:13:94901683212256
3133,0:13:94901683359696
1275,0:13:94901683382400
1277,0:13:94901683448528
1999,0:13:94901683452464
3022,0:13:94901683470288
3488,0:13:94901683523536
788,0:13:94901683584992
1276,0:13:94901683664384
716,0:13:94901683883056
3638,0:13:94901683933136
3353,0:13:94901684137936
3097,0:13:94901684182992
1279,0:13:94901684188240
1280,0:13:94901684279504
3538,0:13:94901684289488
481,0:13:94901684359136
2143,0:13:94901684418304
1869,0:13:94901684531168
1791,0:13:94901684625200
473,0:13:94901684666336
1281,0:13:94901684781024
1283,0:13:94901684867040
1284,0:13:94901684989088
307,0:13:94901685010400
1285,0:13:94901685081168
2085,0:13:94901685087136
1286,0:13:94901685196928
560,0:13:94901685235680
1287,0:13:94901685246080
3512,0:13:94901685252048
2114,0:13:94901685254176
751,0:13:94901685272544
2159,0:13:94901685313504
2885,0:13:94901685342160
1892,0:13:94901685465056
1288,0:13:94901685530592
2336,0:13:94901685532752
3869,0:13:94901685534672
1915,0:13:94901685544368
1916,0:13:94901685544832
286,0:13:94901685596128
1289,0:13:94901685653040
2082,0:13:94901685704736
2165,0:13:94901685758656
3294,0:13:94901685768144
1830,0:13:94901685771680
2840,0:13:94901685825488
585,0:13:94901685894416
2903,0:13:94901685948368
1290,0:13:94901686091744
2632,0:13:94901686108112
2331,0:13:94901686403712
1984,0:13:94901686543424
263,0:13:94901686575072
3962,0:13:94901686587344
1291,0:13:94901686673376
374,0:13:94901686722528
1292,0:13:94901686754784
3067,0:13:94901686910928
1294,0:13:94901686966848
1296,0:13:94901687137360
1818,0:13:94901687224832
817,0:13:94901687371600
1895,0:13:94901687694432
1297,0:13:94901687748528
4243,0:13:94901687750608
2029,0:13:94901687774080
4889,0:13:94901687832528
1299,0:13:94901687881696
2181,0:13:94901687887472
759,0:13:94901687892960
494,0:13:94901688004576
1298,0:13:94901688041440
3861,0:13:94901688266704
1303,0:13:94901688528000
1301,0:13:94901688619968
1304,0:13:94901688765056
490,0:13:94901689004000
3969,0:13:94901689081808
2158,0:13:94901689230736
3700,0:13:94901689233360
4235,0:13:94901689266128
1305,0:13:94901689297680
2084,0:13:94901689323232
1307,0:13:94901689499616
2368,0:13:94901689642208
1308,0:13:94901689726720
2000,0:13:94901689922768
2712,0:13:94901690044368
2225,0:13:94901690059344
1311,0:13:94901690105824
2812,0:13:94901690163152
2113,0:13:94901690227536
1793,0:13:94901690275392
1310,0:13:94901690283232
1309,0:13:94901690318816
1795,0:13:94901690331104
1896,0:13:94901690356576
1312,0:13:94901690528880
1318,0:13:94901690570336
2902,0:13:94901690630096
1315,0:13:94901690707936
1314,0:13:94901690720224
1313,0:13:94901690811472
1316,0:13:94901690865728
2402,0:13:94901690938752
2182,0:13:94901690949600
720,0:13:94901691144560
1317,0:13:94901691181552
818,0:13:94901691260112
1747,0:13:94901691435968
1846,0:13:94901691592672
1319,0:13:94901691644000
1871,0:13:94901691704400
1320,0:13:94901691782080
327,0:13:94901691838432
1322,0:13:94901691839936
2385,0:13:94901691895776
290,0:13:94901692407776
1325,0:13:94901692559328
1328,0:13:94901692643104
4142,0:13:94901692792784
1323,0:13:94901692796896
3491,0:13:94901692825552
2183,0:13:94901692912448
1324,0:13:94901692983392
615,0:13:94901693251552
1327,0:13:94901693259744
1329,0:13:94901693341504
1326,0:13:94901693378224
4164,0:13:94901693485008
734,0:13:94901693710304
2446,0:13:94901693755712
1847,0:13:94901693878240
1331,0:13:94901693963968
1334,0:13:94901694010624
3793,0:13:94901694033872
2309,0:13:94901694107616
4033,0:13:94901694189520
551,0:13:94901694201824
3636,0:13:94901694205904
1333,0:13:94901694267104
847,0:13:94901694277200
2856,0:13:94901694328784
2418,0:13:94901694582544
2484,0:13:94901694627792
3418,0:13:94901694738384
1335,0:13:94901694850272
1336,0:13:94901695024320
1338,0:13:94901695294048
1872,0:13:94901695358000
1339,0:13:94901695401952
1899,0:13:94901695434720
4172,0:13:94901695483856
1341,0:13:94901695576048
1340,0:13:94901695684256
533,0:13:94901695746016
2306,0:13:94901695781440
705,0:13:94901695845936
1343,0:13:94901695920736
1344,0:13:94901696032544
1346,0:13:94901696032736
1345,0:13:94901696225248
2115,0:13:94901696646512
1347,0:13:94901696756720
484,0:13:94901696843744
303,0:13:94901696909280
1348,0:13:94901697044448
692,0:13:94901697092512
1351,0:13:94901697147776
2250,0:13:94901697272016
2661,0:13:94901697339344
1350,0:13:94901697505664
2973,0:13:94901697564624
2186,0:13:94901697606624
2050,0:13:94901697683424
268,0:13:94901697691616
1918,0:13:94901697703904
3414,0:13:94901697982416
1353,0:13:94901697987776
1354,0:13:94901698095392
1355,0:13:94901698383840
3224,0:13:94901698609104
1357,0:13:94901698804896
1734,0:13:94901699026912
2900,0:13:94901699043280
2277,0:13:94901699184464
1358,0:13:94901699629024
328,0:13:94901699678176
1359,0:13:94901699684128
3352,0:13:94901699747792
2251,0:13:94901699788512
1360,0:13:94901699937968
1361,0:13:94901699987584
4794,0:13:94901700235216
2117,0:13:94901700464144
1362,0:13:94901700491040
1364,0:13:94901700753472
841,0:13:94901700758848
1371,0:13:94901700848768
3867,0:13:94901700972496
2278,0:13:94901701061808
3615,0:13:94901701128144
2985,0:13:94901701291984
1367,0:13:94901701315600
554,0:13:94901701353440
