Target device: xilinx_u50_gen3x16_xdma_base_5-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
6224.41,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6263.46,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6304.04,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6342.86,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6381.99,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6420.83,0,0,1590,12010,9000,849,577,3347,0,0,0,0,0,0,0,0,0,64,59,46,45,0,57,0,
6459.79,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6500.46,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6539.36,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6578.5,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6617.62,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6656.35,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6695.04,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6733.86,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6772.63,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6811.7,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6855.08,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6898.81,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6942.25,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
6981.78,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7020.38,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
7059.99,0,0,1592,12010,9100,849,579,3347,0,0,0,0,0,0,0,0,0,64,59,47,45,0,57,0,
