backend,batch_size,graphs_in_batch,sample,N_total,E_total,h2d_ms,prep_ms,graph_ms,forward_ms,d2h_ms,compute_ms,transfer_ms,e2e_ms,compute_ms_per_graph,transfer_ms_per_graph,e2e_ms_per_graph,graphs_per_s,nodes_per_s
gpu_eager,1,1,37,27,136,0.0336639992892742,0.2355200052261352,0.2990080118179321,1.2809280157089231,0.0411840006709098,1.5164480209350586,0.0748479999601841,1.5912960208952427,1.5164480209350586,0.0748479999601841,1.5912960208952427,628.4185889168584,16967.301900755177
gpu_eager,1,1,38,22,170,0.0342720001935958,0.2396160066127777,0.2908160090446472,1.2769279479980469,0.0439359992742538,1.5165439546108246,0.0782079994678497,1.5947519540786743,1.5165439546108246,0.0782079994678497,1.5947519540786743,627.0567641835707,13795.248812038555
gpu_eager,1,1,39,43,564,0.0377600006759166,0.2457599937915802,0.2928639948368072,1.283903956413269,0.0421120002865791,1.5296639502048492,0.0798720009624958,1.609535951167345,1.5296639502048492,0.0798720009624958,1.609535951167345,621.2970883158788,26715.77479758279
gpu_eager,1,1,40,28,90,0.0399039983749389,0.2364480048418045,0.2908160090446472,1.2851200103759766,0.041152000427246,1.521568015217781,0.081055998802185,1.602624014019966,1.521568015217781,0.081055998802185,1.602624014019966,623.9766727890436,17471.34683809322
gpu_eager,1,1,41,34,176,0.0341759994626045,0.2355200052261352,0.2909440100193023,1.282047986984253,0.0413439981639385,1.5175679922103882,0.075519997626543,1.5930879898369312,1.5175679922103882,0.075519997626543,1.5930879898369312,627.7117186115754,21342.198432793564
gpu_eager,1,1,42,30,120,0.0341759994626045,0.2396160066127777,0.291839987039566,1.291231989860535,0.0414719991385936,1.5308479964733124,0.0756479986011982,1.6064959950745106,1.5308479964733124,0.0756479986011982,1.6064959950745106,622.4727625004874,18674.182875014623
gpu_eager,1,1,43,42,192,0.0352640002965927,0.2373760044574737,0.2991999983787536,1.2748479843139648,0.0413759984076023,1.5122239887714386,0.076639998704195,1.5888639874756336,1.5122239887714386,0.076639998704195,1.5888639874756336,629.3804931590066,26433.98071267828
gpu_eager,1,1,44,15,50,0.0335999988019466,0.2355200052261352,0.2867200076580047,1.2677119970321655,0.0417280010879039,1.5032320022583008,0.0753279998898506,1.5785600021481514,1.5032320022583008,0.0753279998898506,1.5785600021481514,633.4887483777431,9502.331225666148
gpu_eager,1,1,45,37,220,0.0339200012385845,0.240896001458168,0.2938880026340484,1.2729599475860596,0.040447998791933,1.5138559490442276,0.0743680000305175,1.5882239490747452,1.5138559490442276,0.0743680000305175,1.5882239490747452,629.6341272164873,23296.462707010032
gpu_eager,1,1,46,42,240,0.0349440015852451,0.2445439994335174,0.2887679934501648,1.2770559787750244,0.0412160009145736,1.521599978208542,0.0761600024998188,1.597759980708361,1.521599978208542,0.0761600024998188,1.597759980708361,625.8762342743457,26286.80183952252
gpu_eager,1,1,47,55,388,0.0390079990029335,0.238655999302864,0.291839987039566,1.2861440181732178,0.0418559983372688,1.5248000174760818,0.0808639973402023,1.6056640148162842,1.5248000174760818,0.0808639973402023,1.6056640148162842,622.7952988747882,34253.74143811335
gpu_eager,1,1,48,27,62,0.0352640002965927,0.2365439981222152,0.289792001247406,1.2932159900665283,0.0412800014019012,1.5297599881887436,0.0765440016984939,1.6063039898872375,1.5297599881887436,0.0765440016984939,1.6063039898872375,622.5471680925102,16808.773538497775
gpu_eager,1,1,49,23,112,0.0327679999172687,0.234495997428894,0.2908160090446472,1.2879680395126345,0.0422080010175704,1.5224640369415283,0.0749760009348392,1.5974400378763676,1.5224640369415283,0.0749760009348392,1.5974400378763676,626.0015877211875,14398.036517587314
gpu_eager,1,1,50,34,226,0.0351999998092651,0.2375680059194564,0.2979840040206909,1.269760012626648,0.0412800014019012,1.5073280185461044,0.0764800012111663,1.5838080197572708,1.5073280185461044,0.0764800012111663,1.5838080197572708,631.3896555172493,21467.24828758648
gpu_eager,1,1,51,44,258,0.0335679985582828,0.2355200052261352,0.2969599962234497,1.2851200103759766,0.0407360009849071,1.5206400156021118,0.07430399954319,1.5949440151453018,1.5206400156021118,0.07430399954319,1.5949440151453018,626.9812548303763,27587.17521253656
gpu_eager,1,1,52,52,410,0.0349120013415813,0.2436800003051757,0.2908160090446472,1.2818880081176758,0.0406400002539157,1.5255680084228516,0.0755520015954971,1.6011200100183487,1.5255680084228516,0.0755520015954971,1.6011200100183487,624.5628021278305,32477.26571064719
gpu_eager,1,1,53,29,114,0.0336319990456104,0.2418559938669204,0.2889280021190643,1.277951955795288,0.0406720004975795,1.5198079496622086,0.07430399954319,1.5941119492053986,1.5198079496622086,0.07430399954319,1.5941119492053986,627.3085152510527,18191.946942280527
gpu_eager,1,1,54,35,172,0.0374399982392787,0.2365439981222152,0.2908160090446472,1.2892160415649414,0.042272001504898,1.525760039687157,0.0797119997441768,1.6054720394313335,1.525760039687157,0.0797119997441768,1.6054720394313335,622.8697700361105,21800.441951263867
gpu_eager,1,1,55,44,250,0.0334080010652542,0.2385919988155365,0.2887679934501648,1.294368028640747,0.0402560010552406,1.5329600274562836,0.0736640021204948,1.6066240295767784,1.5329600274562836,0.0736640021204948,1.6066240295767784,622.4231566257745,27386.618891534075
gpu_eager,1,1,56,34,204,0.0341119989752769,0.2365439981222152,0.289792001247406,1.307647943496704,0.0415359996259212,1.5441919416189194,0.0756479986011982,1.6198399402201176,1.5441919416189194,0.0756479986011982,1.6198399402201176,617.3449457383497,20989.728155103887
gpu_eager,1,1,57,66,660,0.0333440005779266,0.2365439981222152,0.2969599962234497,1.3004800081253052,0.0413439981639385,1.5370240062475204,0.0746879987418651,1.6117120049893856,1.5370240062475204,0.0746879987418651,1.6117120049893856,620.4582437211453,40950.2440855956
gpu_eager,1,1,58,31,154,0.033695999532938,0.2346560060977935,0.2978560030460357,1.282080054283142,0.0417920015752315,1.5167360603809357,0.0754880011081695,1.5922240614891052,1.5167360603809357,0.0754880011081695,1.5922240614891052,628.052310090556,19469.62161280724
gpu_eager,1,1,59,38,404,0.0345919989049434,0.2406399995088577,0.2908160090446472,1.287168025970459,0.0416960008442401,1.5278080254793167,0.0762879997491836,1.6040960252285004,1.5278080254793167,0.0762879997491836,1.6040960252285004,623.4040757363961,23689.354877983053
gpu_eager,1,1,60,22,74,0.0334720015525817,0.2447360008955001,0.2887679934501648,1.2840960025787354,0.042272001504898,1.5288320034742355,0.0757440030574798,1.6045760065317154,1.5288320034742355,0.0757440030574798,1.6045760065317154,623.2175951337425,13710.787092942335
gpu_eager,1,1,61,73,812,0.0343680009245872,0.2365439981222152,0.291839987039566,1.3007359504699707,0.0423679985105991,1.537279948592186,0.0767359994351863,1.6140159480273724,1.537279948592186,0.0767359994351863,1.6140159480273724,619.5725644608319,45228.79720564073
gpu_eager,1,1,62,56,848,0.0350399985909462,0.2385600060224533,0.2928639948368072,1.295199990272522,0.0412800014019012,1.5337599962949753,0.0763199999928474,1.6100799962878227,1.5337599962949753,0.0763199999928474,1.6100799962878227,621.0871523809907,34780.88053333548
gpu_eager,1,1,63,44,196,0.0329600013792514,0.2375680059194564,0.290719985961914,1.2789119482040403,0.0408000014722347,1.516479954123497,0.0737600028514862,1.5902399569749832,1.516479954123497,0.0737600028514862,1.5902399569749832,628.8359159973814,27668.78030388478
gpu_eager,1,1,64,73,600,0.0355839990079402,0.2365439981222152,0.298112004995346,1.2842880487442017,0.0416320003569126,1.520832046866417,0.0772159993648529,1.5980480462312698,1.520832046866417,0.0772159993648529,1.5980480462312698,625.763413283057,45680.729169663166
gpu_eager,1,1,65,27,90,0.0337920002639293,0.2374719977378845,0.3001280128955841,1.2787840366363523,0.0407040007412433,1.516256034374237,0.0744960010051727,1.5907520353794098,1.516256034374237,0.0744960010051727,1.5907520353794098,628.6334876582384,16973.10416677244
gpu_eager,1,1,66,39,242,0.0330879986286163,0.2415360063314438,0.2908160090446472,1.2810239791870115,0.040192000567913,1.5225599855184555,0.0732799991965293,1.595839984714985,1.5225599855184555,0.0732799991965293,1.595839984714985,626.6292420155138,24438.54043860504
gpu_eager,1,1,67,50,312,0.033440001308918,0.2437119930982589,0.2908160090446472,1.284000039100647,0.041312001645565,1.527712032198906,0.074752002954483,1.602464035153389,1.527712032198906,0.074752002954483,1.602464035153389,624.038966281249,31201.94831406245
gpu_eager,1,1,68,17,30,0.0344959981739521,0.2375680059194564,0.291839987039566,1.2851200103759766,0.0405119992792606,1.522688016295433,0.0750079974532127,1.5976960137486458,1.522688016295433,0.0750079974532127,1.5976960137486458,625.9012924828659,10640.32197220872
gpu_eager,1,1,69,29,98,0.0335679985582828,0.2365439981222152,0.291839987039566,1.2801920175552368,0.040447998791933,1.516736015677452,0.0740159973502159,1.590752013027668,1.516736015677452,0.0740159973502159,1.590752013027668,628.6334964912013,18230.37139824484
gpu_eager,1,1,70,62,466,0.0343360006809234,0.236735999584198,0.2908160090446472,1.2861440181732178,0.0417280010879039,1.5228800177574158,0.0760640017688274,1.5989440195262432,1.5228800177574158,0.0760640017688274,1.5989440195262432,625.4127647922868,38775.59141712178
gpu_eager,1,1,71,28,142,0.0330559983849525,0.2355200052261352,0.3000000119209289,1.277951955795288,0.0419519990682601,1.5134719610214231,0.0750079974532127,1.588479958474636,1.5134719610214231,0.0750079974532127,1.588479958474636,629.5326514287699,17626.914240005557
gpu_eager,1,1,72,42,492,0.0340799987316131,0.2375680059194564,0.2979840040206909,1.283071994781494,0.0407680012285709,1.5206400007009506,0.0748479999601841,1.5954880006611347,1.5206400007009506,0.0748479999601841,1.5954880006611347,626.7674840460237,26324.234329932995
